account_id,plan_tier,seats,is_trial,churn_flag,total_tickets,avg_satisfaction,total_escalations,total_mrr,total_upgrades,total_usage_count,total_usage_duration,total_errors,tenure_days,provided_satisfaction_score,error_rate,ticket_per_month,escalation_rate,avg_session_duration,error_per_mrr,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner
A-2e4581,0,9,0,0,2.0,3.0,0.0,12603,1,535,152339,38,78,1,0.0708955223880597,0.5555555555555556,0.0,284.214552238806,0.0030149158997143763,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A-43a9e3,0,18,0,1,3.0,4.0,0.0,10004,3,355,101136,14,504,1,0.03932584269662921,0.16853932584269662,0.0,284.08988764044943,0.0013993003498250875,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
A-0a282f,0,1,0,0,3.0,4.666666666666667,0.0,18286,1,821,251210,48,128,1,0.058394160583941604,0.569620253164557,0.0,305.6082725060827,0.002624815442664188,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
A-1f0ac7,0,24,1,0,2.0,4.008761282290694,0.0,9275,2,382,102528,21,494,0,0.05483028720626632,0.11450381679389314,0.0,267.6971279373368,0.002263906856403622,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
A-ce550d,2,35,0,1,7.0,3.8,1.0,48761,2,579,215779,31,67,1,0.05344827586206897,2.1649484536082473,0.125,372.03275862068966,0.0006357409458184652,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
A-1b9609,2,4,0,0,4.0,3.0,0.0,16810,0,457,140541,21,448,1,0.04585152838427948,0.2510460251046025,0.0,306.8580786026201,0.0012491820831598357,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
A-a0ca4e,1,11,0,0,6.0,3.8,3.0,16633,0,373,116964,14,300,1,0.0374331550802139,0.5454545454545454,0.42857142857142855,312.7379679144385,0.0008416496332812313,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
A-e5d6ab,1,3,0,0,3.0,3.9161676646706587,0.0,13048,0,382,111506,23,628,0,0.06005221932114883,0.13677811550151975,0.0,291.1383812010444,0.001762587171430761,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A-7dacce,2,12,0,1,4.0,3.6666666666666665,0.0,23057,1,472,145429,29,114,1,0.0613107822410148,0.8333333333333334,0.0,307.46088794926004,0.0012576979790094543,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
A-10b8da,2,14,0,1,3.0,3.5,0.0,8787,1,257,73818,14,605,1,0.05426356589147287,0.14173228346456693,0.0,286.1162790697674,0.0015930814747382794,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A-592832,0,18,0,1,3.0,5.0,0.0,32571,1,1053,326283,55,99,1,0.05218216318785579,0.6976744186046512,0.0,309.5664136622391,0.001688566867247943,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
A-d40bf7,0,59,0,0,2.0,5.0,0.0,43247,1,562,150186,22,55,1,0.03907637655417407,0.7058823529411765,0.0,266.76021314387214,0.0005086940436551979,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
A-6c093d,0,7,1,0,3.0,5.0,1.0,16242,2,670,217275,30,629,1,0.044709388971684055,0.13657056145675267,0.25,323.80774962742174,0.0018469494551499107,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A-462d45,2,11,1,0,4.0,4.0,0.0,23432,1,642,159561,26,353,1,0.04043545878693624,0.31331592689295035,0.0,248.15085536547434,0.0011095463662356506,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
A-956988,2,1,0,0,2.0,3.0,0.0,29407,0,658,173232,49,33,1,0.07435508345978756,0.9523809523809523,0.0,262.8710166919575,0.0016662132752992382,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
A-ac14bb,2,21,0,0,2.0,4.0,0.0,27746,2,531,170826,42,482,1,0.07894736842105263,0.1171875,0.0,321.1015037593985,0.00151367715428695,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
A-463db0,0,15,0,0,6.0,4.25,1.0,13266,0,367,106259,13,28,1,0.035326086956521736,3.103448275862069,0.14285714285714285,288.7472826086956,0.0009798748775156404,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
A-ce66f8,1,29,0,0,6.0,3.5,0.0,11858,0,494,133559,19,498,1,0.03838383838383838,0.3409090909090909,0.0,269.8161616161616,0.0016021586980352475,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
A-c4ea60,2,18,0,1,5.0,3.6,0.0,14646,0,427,137244,18,665,1,0.04205607476635514,0.2158273381294964,0.0,320.66355140186914,0.001228920598074691,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
A-832ec2,2,4,1,0,3.0,4.0,1.0,9299,3,511,157711,25,410,1,0.048828125,0.20454545454545456,0.25,308.029296875,0.002688172043010753,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
A-684255,2,9,0,0,4.0,4.666666666666667,1.0,11844,3,653,191849,44,263,1,0.0672782874617737,0.40955631399317405,0.2,293.34709480122325,0.0037146475306036302,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
A-c42f1f,1,8,0,0,9.0,4.0,1.0,5175,1,337,98383,20,158,1,0.05917159763313609,1.4361702127659575,0.1,291.0739644970414,0.0038639876352395673,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
A-4e44e8,2,3,0,1,3.0,3.3333333333333335,0.0,36445,2,687,208387,37,135,1,0.05377906976744186,0.5454545454545454,0.0,302.8880813953488,0.0010152005707073479,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
A-30b4ca,0,86,0,1,3.0,4.0,0.0,75938,0,402,127433,22,227,1,0.05459057071960298,0.3501945525291829,0.0,316.2109181141439,0.0002897062115645452,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
A-9f2731,2,1,0,0,0.0,3.9723255055446836,0.0,3613,0,324,98113,20,90,0,0.06153846153846154,0.0,0.0,301.88615384615383,0.005534034311012728,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
A-32fb14,2,26,0,1,5.0,4.5,0.0,10162,2,488,150708,19,667,1,0.03885480572597137,0.2152080344332855,0.0,308.1963190184049,0.0018695267145527896,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
A-00cac8,2,8,1,0,2.0,3.9723255055446836,0.0,14121,0,602,171366,31,475,0,0.05140961857379768,0.11881188118811879,0.0,284.18905472636817,0.0021951564934145303,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
A-35083d,0,19,0,1,4.0,5.0,0.0,32433,3,791,237055,37,615,1,0.04671717171717172,0.18604651162790697,0.0,299.3118686868687,0.00114077819572054,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
A-eb7fac,2,7,0,0,4.0,4.0,0.0,42096,0,538,185729,44,432,1,0.08163265306122448,0.2597402597402597,0.0,344.5807050092764,0.0010452051215050953,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
A-b20d99,0,20,0,0,2.0,3.5,0.0,11069,1,329,105214,12,463,1,0.03636363636363636,0.12170385395537525,0.0,318.830303030303,0.001084010840108401,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
